xcoor1	ycoor1
163.0435	32.6087
342.39135	619.5653
407.60875	798.91315
489.1305	815.2175
260.8696	766.30445
375.00005	1304.348
309.78265	1255.43495
505.43485	945.6523
538.04355	994.56535
391.3044	945.6523
293.4783	1092.39145
301.630475	1141.3045
326.087	1092.39145
391.3044	1149.456675
472.82615	1092.39145
260.8696	1141.3045
260.8696	1255.43495
236.413075	1279.891475
326.087	1394.021925
440.21745	1500.0002
562.500075	1418.47845
635.86965	1345.108875
627.717475	1695.6524
774.456625	2103.26115
855.978375	2046.195925
961.95665	1899.456775
1027.17405	1875.00025
1002.717525	1834.239375
978.261	1826.0872
839.674025	2152.1742
782.6088	2176.630725
733.69575	2192.935075
750.0001	2119.5655
725.543575	2095.108975
725.543575	2217.3916
766.30445	2201.08725
839.674025	2274.456825
970.108825	2551.630775
1100.543625	2567.935125
1304.348	2576.0873
1434.7828	2763.587325
1614.13065	2861.413425
1182.065375	2682.065575
1076.0871	2722.82645
733.69575	2413.0438
717.3914	2673.9134
766.30445	2608.696
1500.0002	3057.065625
1540.761075	3048.91345
1557.065425	2967.3917
1679.34805	2934.783
1597.8263	2967.3917
1565.2176	3073.369975
1565.2176	3130.4352
1565.2176	3187.500425
1540.761075	3203.804775
375.00005	1418.47845
847.8262	1516.30455
1744.56545	3896.73965
1703.804575	3986.413575
652.174	3570.65265
733.69575	3301.630875
725.543575	3684.7831
1010.8697	2836.9569
961.95665	3130.4352
978.261	3586.957
937.500125	3554.3483
896.73925	3472.82655
831.52185	3260.87
807.065325	3179.34825
815.2175	3154.891725
864.13055	3203.804775
1239.1306	3187.500425
1402.1741	3244.56565
1385.86975	3260.87
1165.761025	3260.87
1296.195825	3016.30475
1133.152325	3391.3048
896.73925	3627.717875

